name,Return,α,β,σu,σr
وصندوق,11.321937321937321,-1.1530510398365525,1.097326649009901,8.3977960088695,12.924579032045214
وصنعت,20.588366890380314,-0.7039438485191987,0.8308757500290204,10.59247539887682,12.894928862428804
وغدير,9.318302387267904,-0.6164576411952518,1.017087146865296,9.497545519256166,13.085789544679153
وقوام,-0.49341438703140833,-1.1405849873835323,0.31122937501327774,15.989493816956433,16.069560230593602
وكادو,17.44433781190019,1.774845227048249,0.7872327204635551,20.805344836235037,22.285362057620162
وكار,4.434944237918216,-0.8400409371863792,0.7650661482555468,11.03099915746494,12.982953714608607
ولانا,8.29933774834437,8.758525369868408,0.24381425915175192,25.337785437953457,25.57127286791796
ولبهمن,3.861070201276387,-0.33029155434656654,0.4839795291941775,13.893675789050192,14.894568187078569
ولتجار,5.681954137587239,0.2675708087295441,0.5189182748726977,21.451829086392273,22.07611368301108
ولراز,14.409333333333333,7.337283382828651,0.17722405880551767,23.262972170667606,23.37802675888701
ولساپا,0.6959511077158136,-1.2956090107429545,0.7241195953313427,12.580398616277952,14.118821531150537
ولشرق,3.305295950155763,2.4450047260315526,0.3929808346410317,18.6217462046263,19.39230979601823
ولصنم,10.238317757009346,-0.24159153753522647,1.0059474167599955,12.347589339546992,15.22275028025524
ولغدر,23.31179775280899,0.4150982159806537,0.738060349460548,13.315068923300439,14.879095466993652
ولملت,7.466003316749585,0.44411128875940253,0.6403980980292847,14.867969417088979,16.79625548147161
وليز,5.14168247944339,0.20534650980791813,0.4653049355364777,15.12717439749057,15.67773994239475
ومعادن,5.910112359550562,-0.1026362278356428,1.1160721412255157,9.440240991691125,13.724623406192071
وملي,710.917808219178,3.806867109318661,0.8698601088998745,21.024179837371136,22.570606681248705
ونفت,9.809555408095553,0.15274120543972558,0.680795545987449,13.921771056735649,15.169828138141936
ونوين,0.9054492962829304,-0.3694793847832176,0.4255302994767636,15.01715343941497,15.505306715348077
ونيرو,6.2125,-0.5992047363859946,0.6730492447938149,12.016603783903555,13.512515398905508
ونيكي,62.00854700854701,-0.21319155169465653,1.1255524722956645,11.441237802677163,15.200060401603917
وهور,15.142505133470227,-0.11298026092286242,1.0961324769490683,14.558217248518067,19.72135234546691
وپارس,1.7299528301886793,-0.9559309501626918,1.0748244036674632,11.311625263072692,15.148880878267063
وپاسار,4.469387755102041,-1.1579063645370304,0.8991101576510612,9.07840274465957,12.928399494242562
